,DYN-HUMAN,DYN-RANDOM,LINRS,NRS,STATIC-HUMAN,STATIC-RANDOM,AC,DYN-HUMAN-P0,DYN-HUMAN-P1,DYN-HUMAN-P2,DYN-HUMAN-P3,DYN-HUMAN-P4,DYN-HUMAN-P5,DYN-HUMAN-P6,DYN-HUMAN-P7,DYN-HUMAN-P8,DYN-HUMAN-P9,STATIC-HUMAN-P0,STATIC-HUMAN-P1,STATIC-HUMAN-P2,STATIC-HUMAN-P3,STATIC-HUMAN-P4,STATIC-HUMAN-P5,STATIC-HUMAN-P6,STATIC-HUMAN-P7,STATIC-HUMAN-P8,STATIC-HUMAN-P9,STATIC-1,STATIC-10,STATIC-100,STATIC-1000,STATIC-10000
51,83,66,28.0,11,54.0,24.0,86.0,8.0,17.0,24.0,36.0,33.0,132.0,21.0,21.0,55.0,15.0,229.0,32.0,250.0,30.0,29.0,38.0,56.0,80.0,64.0,30.0,65.0,250.0,15.0,229.0,125.0
52,39,15,18.0,33,51.0,250.0,14.0,48.0,30.0,113.0,33.0,250.0,130.0,44.0,86.0,78.0,87.0,46.0,26.0,34.0,22.0,46.0,36.0,79.0,24.0,36.0,60.0,102.0,33.0,237.0,46.0,32.0
53,117,35,142.0,34,32.0,20.0,67.0,72.0,250.0,31.0,37.0,37.0,28.0,71.0,45.0,110.0,76.0,53.0,88.0,28.0,7.0,100.0,38.0,51.0,29.0,13.0,47.0,250.0,19.0,22.0,53.0,35.0
54,53,84,250.0,39,91.0,25.0,87.0,45.0,52.0,73.0,47.0,156.0,134.0,22.0,54.0,71.0,65.0,73.0,40.0,250.0,57.0,66.0,34.0,33.0,33.0,36.0,30.0,159.0,63.0,12.0,73.0,152.0
55,66,109,250.0,250,19.0,32.0,30.0,69.0,77.0,33.0,12.0,10.0,96.0,134.0,67.0,27.0,16.0,29.0,74.0,20.0,25.0,44.0,38.0,87.0,36.0,20.0,24.0,62.0,46.0,44.0,29.0,21.0
56,23,28,50.0,201,42.0,59.0,79.0,78.0,60.0,26.0,90.0,70.0,66.0,91.0,22.0,44.0,51.0,82.0,23.0,21.0,22.0,21.0,154.0,43.0,18.0,12.0,250.0,250.0,153.0,20.0,82.0,13.0
57,103,33,73.0,112,87.0,82.0,37.0,40.0,34.0,250.0,68.0,36.0,33.0,71.0,33.0,250.0,32.0,41.0,50.0,40.0,60.0,21.0,99.0,25.0,47.0,11.0,49.0,98.0,250.0,32.0,41.0,26.0
58,129,31,73.0,29,24.0,98.0,250.0,36.0,68.0,28.0,56.0,12.0,44.0,32.0,53.0,19.0,16.0,144.0,42.0,57.0,6.0,137.0,54.0,75.0,37.0,50.0,55.0,33.0,120.0,30.0,144.0,120.0
59,49,92,68.0,50,21.0,17.0,86.0,9.0,79.0,118.0,23.0,35.0,15.0,88.0,78.0,87.0,46.0,41.0,34.0,13.0,28.0,38.0,250.0,53.0,25.0,23.0,38.0,147.0,21.0,37.0,41.0,250.0
60,26,11,117.0,24,79.0,37.0,2.0,87.0,34.0,250.0,18.0,41.0,89.0,41.0,120.0,73.0,120.0,52.0,15.0,14.0,82.0,56.0,48.0,35.0,18.0,21.0,8.0,122.0,149.0,40.0,52.0,43.0
